Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
09.06.2014,"54273,16","53128,72","54462,43","53091,17","3,66M","2,15%"
06.06.2014,"53128,66","51561,8","53174,8","51561,8","4,30M","3,04%"
05.06.2014,"51558,79","51832,98","52245,35","51469,82","2,89M","-0,53%"
04.06.2014,"51832,98","52032,38","52032,38","51608,67","2,57M","-0,38%"
03.06.2014,"52032,38","51605,83","52032,38","51377,36","2,86M","0,83%"
02.06.2014,"51605,83","51239,34","51878,79","51239,34","2,60M","0,72%"
30.05.2014,"51239,34","52233,42","52233,42","51239,34","4,53M","-1,91%"
29.05.2014,"52239,34","52649,31","52889,29","52031,29","2,39M","-0,76%"
28.05.2014,"52639,75","52173,98","52858,31","52009,35","2,84M","0,89%"
27.05.2014,"52173,98","52931,62","53309,39","52079,19","2,89M","-1,43%"
26.05.2014,"52932,91","52649,77","53044,35","52649,77","1,19M","0,58%"
25.05.2014,"52626,41","52626,41","52626,41","52626,41",-,"0,00%"
23.05.2014,"52626,41","52807,48","52935,97","52403,14","2,46M","-0,34%"
22.05.2014,"52806,22","52205,81","52850,55","52132,77","2,94M","1,15%"
21.05.2014,"52203,37","52366,43","52875,42","52203,37","3,25M","-0,31%"
20.05.2014,"52366,19","53352,6","53842,56","52312,54","3,95M","-1,85%"
19.05.2014,"53353,1","53975,51","53991,22","53266,63","3,09M","-1,15%"
16.05.2014,"53975,76","53855,54","54382,28","53708,83","3,54M","0,22%"
15.05.2014,"53855,54","54403,66","54403,66","53565,32","3,44M","-1,02%"
14.05.2014,"54412,54","53913,33","54459,39","53866,76","2,88M","0,94%"
13.05.2014,"53907,46","54056,45","54242,98","53730,94","2,96M","-0,27%"
12.05.2014,"54052,9","53102,68","54053,22","53102,68","2,74M","1,79%"
09.05.2014,"53100,34","53422,45","53639,2","53056,62","3,18M","-0,60%"
08.05.2014,"53422,37","54052,63","54249,42","53222,35","3,34M","-1,17%"
07.05.2014,"54052,74","53786,09","54225,85","53498,81","4,57M","0,51%"
06.05.2014,"53779,74","53446,17","53985,95","53093,52","4,97M","0,62%"
05.05.2014,"53446,17","52988,81","53505,9","52931,22","4,44M","0,88%"
02.05.2014,"52980,31","51630,28","53060,11","51628,19","8,11M","2,62%"
30.04.2014,"51626,69","51837,56","51837,56","51250,61","4,62M","-0,41%"
29.04.2014,"51838,61","51386,17","52415,86","51386,17","4,33M","0,89%"
28.04.2014,"51383,68","51396,82","51471,48","50776,61","2,71M","-0,03%"
25.04.2014,"51399,35","51817,04","51817,04","51019,33","2,95M","-0,81%"
24.04.2014,"51817,45","51569,69","51963,17","51237,58","3,19M","0,48%"
23.04.2014,"51569,69","51974,51","51974,51","51399,88","2,84M","-0,78%"
22.04.2014,"51976,86","52112,3","52460,08","51681,9","3,49M","-0,26%"
17.04.2014,"52111,85","51200,69","52338,07","50886,75","3,02M","1,78%"
16.04.2014,"51200,56","50469,16","51288,03","50469,16","3,43M","1,48%"
15.04.2014,"50454,35","51593,24","51593,24","49890,16","3,86M","-2,21%"
14.04.2014,"51596,55","51867,15","52110,1","51361,27","2,69M","-0,52%"
11.04.2014,"51867,29","51127,48","51870,75","50517,86","3,40M","1,45%"
10.04.2014,"51127,48","51185,4",51522,"50732,13","3,59M","-0,11%"
09.04.2014,"51185,4","51628,57","51628,57","50652,82","4,20M","-0,86%"
08.04.2014,"51629,07",52173,"53393,57","51377,19","5,50M","-1,01%"
07.04.2014,"52155,28","51115,31","52228,69","51115,31","3,67M","2,10%"
04.04.2014,"51081,78","51428,33","52288,24","51034,4","3,70M","-0,63%"
03.04.2014,"51408,21","51711,81","51990,84","51059,14","3,50M","-0,57%"
02.04.2014,"51701,05","50273,11","51794,21","50200,86","4,79M","2,85%"
01.04.2014,"50270,37","50412,05","50626,86","49773,62","3,50M","-0,29%"
31.03.2014,"50414,92","49769,69","50417,58","49769,69","3,65M","1,30%"
28.03.2014,"49768,06","49653,28","50180,53","49606,04","4,23M","0,24%"
27.03.2014,"49646,79","47964,65","49646,79","47962,03","5,93M","3,50%"
26.03.2014,"47965,61","48181,86","48725,06","47963,01","3,44M","-0,45%"
25.03.2014,"48180,14","47993,42","48440,7","47949,92","2,95M","0,39%"
24.03.2014,"47993,42","47381,98","48141,79","47381,98","3,01M","1,29%"
21.03.2014,"47380,94",47272,"47831,73","46720,98","4,19M","0,22%"
20.03.2014,"47278,48","46565,15","47484,02","46150,51","4,36M","1,53%"
19.03.2014,"46567,23","46152,99","46803,23","45909,96","3,34M","0,90%"
18.03.2014,"46150,96","45115,44","46217,33","45074,72","3,59M","2,29%"
17.03.2014,"45117,8","44978,98","45498,67","44968,66","2,93M","0,34%"
14.03.2014,"44965,66","45444,32","45561,67","44904,83","3,48M","-1,05%"
13.03.2014,"45443,83","45863,88","46176,34","45250,32","3,12M","-0,91%"
12.03.2014,"45861,81","45686,97","45915,56","45507,87","3,02M","0,36%"
11.03.2014,"45697,62","45533,2","46049,65","45401,1","3,28M","0,36%"
10.03.2014,"45533,2","46241,82","46241,82","45203,49","3,67M","-1,54%"
09.03.2014,"46244,07","46244,07","46244,07","46244,07",-,"0,00%"
07.03.2014,"46244,07","47093,13","47218,16","46086,17","3,98M","-1,80%"
06.03.2014,"47093,13","46591,9","47400,49","46501,58","3,16M","1,08%"
05.03.2014,46589,"47092,24","47153,51","46472,87","2,29M","-1,07%"
28.02.2014,"47094,4","47613,49","47813,1","47043,47","4,09M","-1,08%"
27.02.2014,"47606,75","46621,81","47781,38","46621,81","3,05M","2,16%"
26.02.2014,"46599,21","46717,53","47009,89","46402,96","3,23M","-0,25%"
25.02.2014,"46715,91","47388,11","47388,11","46613,59","2,92M","-1,43%"
24.02.2014,"47393,5","47375,76","47538,55","46991,26","2,99M","0,03%"
21.02.2014,"47380,24","47289,79","47815,61","47075,28","2,61M","0,19%"
20.02.2014,"47288,61","47126,94","47600,35","46634,22","3,00M","0,29%"
19.02.2014,"47150,83","46597,4","47155,22","46133,66","4,00M","1,18%"
18.02.2014,"46599,76","47575,3","47712,25","46599,76","3,86M","-2,05%"
17.02.2014,"47576,33","48199,79","48297,85","47540,26","1,88M","-1,30%"
14.02.2014,"48201,11","47815,64","48313,77","47756,18","3,19M","0,81%"
13.02.2014,"47812,83","48211,04","48211,04","47128,98","3,17M","-0,84%"
12.02.2014,"48216,89","48467,19","48669,22","48044,39","2,77M","-0,51%"
11.02.2014,"48462,79","47715,35","48603,74","47588,97","3,38M","1,58%"
